age,fnlwgt,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,sex,country,salary
45,210875,0,0,40,4,11,2,3,1,39,0
45,191776,0,0,40,2,12,0,10,0,39,0
38,212245,0,0,40,4,15,2,3,1,39,0
32,26803,0,0,84,4,15,2,7,1,39,1
37,103323,0,0,40,4,11,4,3,1,39,0
34,127651,0,0,60,5,9,0,5,1,39,0
23,160951,2597,0,40,4,11,4,3,1,39,0
28,215955,0,0,40,4,11,2,3,1,39,0
45,103538,0,0,40,4,11,2,1,1,39,1
53,133436,0,0,40,4,5,0,7,0,39,0
44,121874,0,0,55,4,15,0,12,1,39,1
19,100999,0,0,30,4,9,4,10,0,39,0
30,39386,0,0,99,4,15,2,4,1,39,0
49,94606,0,0,60,5,10,2,10,1,39,1
65,210381,99999,0,65,5,9,2,4,1,39,1
22,61850,0,0,40,4,11,4,8,0,39,0
51,162632,7298,0,60,4,11,2,14,1,39,1
31,292592,0,0,40,4,11,2,7,0,39,0
32,160594,0,0,35,4,15,4,8,1,39,0
23,217961,0,0,45,4,11,4,3,1,28,0
43,135342,0,0,50,5,15,2,4,1,39,1
51,146767,0,0,40,4,9,2,10,1,39,1
30,116138,27828,0,60,4,9,4,4,1,39,1
63,254907,0,0,20,4,8,0,8,0,39,0
49,186539,0,0,40,2,12,2,11,1,39,1
28,33035,0,0,30,6,2,0,8,0,39,0
50,108933,2885,0,40,4,6,2,3,1,39,0
19,53220,0,0,40,2,11,4,1,0,39,0
27,104329,0,0,40,4,1,2,12,1,39,0
46,123598,0,0,48,4,15,2,12,1,39,1
71,196610,6097,0,40,4,5,6,4,1,39,1
24,258700,0,0,40,4,4,4,5,1,26,0
47,331650,0,0,8,0,11,2,0,0,39,1
70,150886,0,0,25,6,15,2,3,1,39,0
27,169631,0,0,40,4,11,4,6,0,39,0
41,184466,0,0,38,2,12,2,10,1,39,1
49,116143,0,0,40,4,11,2,7,1,39,0
22,244366,0,0,40,4,9,4,10,1,39,0
48,171926,15024,0,50,7,14,2,10,1,39,1
51,316059,0,0,36,4,15,0,4,0,39,0
48,155664,0,0,35,4,9,2,1,1,39,1
55,359972,0,1887,40,4,9,2,4,1,39,1
32,188246,0,0,40,4,11,0,3,1,39,0
37,179481,0,0,40,4,9,2,7,1,39,1
18,25837,0,0,25,4,11,4,8,1,39,0
31,226443,0,0,40,4,9,2,10,1,39,0
67,73559,9386,0,50,5,11,2,4,1,39,1
29,184723,0,0,40,1,15,4,8,0,39,1
34,192900,0,0,40,4,15,2,3,1,39,1
35,155961,0,0,35,4,11,4,8,0,23,0
52,318975,0,0,40,4,11,0,1,0,5,0
22,31102,0,0,4,0,15,4,0,0,35,0
46,102628,0,0,40,7,12,6,11,1,39,0
27,147638,0,0,40,4,9,4,1,0,17,0
42,177989,0,0,40,4,11,2,3,1,39,0
21,180339,0,1602,30,4,8,4,5,0,39,0
43,307767,0,0,40,4,11,2,6,1,39,0
24,234663,0,0,40,5,9,4,4,1,39,0
43,180985,0,0,35,6,9,5,3,1,39,0
28,48894,0,0,40,4,11,2,1,0,39,0
21,113163,0,0,50,4,15,4,1,1,39,0
54,93605,0,1848,40,4,11,2,12,1,39,1
32,188154,0,0,40,4,15,0,7,0,39,0
33,115496,0,0,60,4,10,2,10,1,39,1
36,182863,0,0,50,4,9,2,4,1,39,1
18,184416,0,0,30,0,0,4,0,1,39,0
52,314627,0,0,40,7,12,0,10,0,39,0
33,93930,0,0,50,4,11,4,3,1,39,0
41,190591,0,0,20,4,11,5,8,0,39,0
33,206512,0,0,40,4,15,0,10,1,39,0
42,39239,0,0,70,7,12,4,10,1,39,0
22,109482,0,0,98,4,15,4,10,1,39,0
26,370727,0,1977,40,0,9,2,0,0,39,1
47,264052,15024,0,50,4,9,2,4,1,39,1
23,177087,0,0,35,4,1,4,1,1,39,0
64,203783,0,0,8,4,11,6,1,0,39,0
30,303485,0,0,40,2,15,4,14,0,39,0
50,112351,0,0,38,4,11,0,4,1,39,0
37,314963,0,0,40,4,15,2,7,1,39,0
27,207948,0,0,40,6,15,4,8,1,39,0
30,270886,0,0,40,4,15,4,8,0,39,0
59,174056,15024,0,40,6,9,2,12,1,39,1
36,109766,0,0,60,2,9,4,11,1,39,0
50,94391,0,0,50,4,8,2,3,1,39,1
20,270436,0,0,40,4,11,4,7,1,39,0
30,94235,0,0,40,4,11,4,3,1,39,0
25,77071,0,2339,35,4,9,4,10,0,39,0
25,146117,0,0,42,4,15,4,7,1,39,0
49,287647,4787,0,45,4,12,0,12,1,39,1
33,37939,0,0,35,6,9,2,3,1,39,0
20,176321,0,0,20,4,15,4,1,0,39,0
26,375499,0,0,20,4,0,4,1,1,39,0
26,917220,0,0,40,4,2,4,14,1,39,0
29,168479,0,0,40,4,12,2,10,1,39,1
40,164663,0,0,40,4,11,2,14,1,39,0
17,154908,0,0,10,4,0,4,8,0,39,0
23,386705,0,0,24,4,15,4,1,1,39,0
22,427686,0,0,40,4,0,0,3,1,39,0
78,212660,0,0,10,5,1,2,4,1,39,0
32,112650,0,0,40,2,11,2,11,1,39,0
38,129150,0,0,35,0,0,5,0,1,39,0
31,183801,0,1902,43,4,12,2,10,1,39,1
35,226789,0,0,75,7,12,2,10,1,39,0
34,80249,0,0,72,5,15,2,5,1,39,0
49,72333,0,0,40,4,15,0,1,0,39,0
59,309124,0,0,40,6,11,2,14,1,39,1
39,168894,0,0,40,4,15,4,1,0,39,0
54,96062,0,0,40,4,7,2,13,1,39,1
24,51799,0,0,40,4,11,2,1,0,39,0
37,238433,0,0,40,4,3,2,14,1,5,0
24,275884,0,0,40,4,11,5,8,0,39,0
55,182273,0,0,40,5,15,2,12,1,39,0
60,197553,7688,0,50,5,15,2,4,1,39,1
18,88642,0,0,15,4,15,4,12,1,39,0
36,100681,2463,0,40,4,15,4,1,1,39,0
36,233533,0,0,60,6,15,2,3,1,39,1
19,176831,0,0,35,2,15,4,8,0,39,0
43,292175,0,0,45,6,12,0,4,0,39,1
49,324791,0,0,50,7,9,2,10,1,39,1
36,162164,0,0,44,4,11,2,3,1,39,0
33,141490,0,0,45,4,11,2,12,0,39,0
31,243165,0,0,40,4,9,4,10,1,39,0
25,361493,3325,0,40,4,9,4,12,1,39,0
53,226135,0,0,40,4,6,4,3,1,23,0
37,186009,0,1672,60,4,11,2,14,1,39,0
53,122412,0,0,40,4,9,4,10,0,39,0
41,344572,0,0,40,0,11,0,0,0,39,0
50,158294,3103,0,40,4,8,2,13,1,39,1
38,439592,0,0,40,4,15,4,8,0,39,0
28,218555,0,1762,40,6,15,4,14,1,39,0
31,319146,4386,0,40,4,8,2,3,1,26,1
20,54012,0,0,40,4,11,4,6,1,39,0
35,117381,0,0,40,4,9,0,12,1,39,0
62,191118,7298,0,40,0,15,2,0,1,39,1
52,306108,0,0,40,4,11,2,7,1,39,0
42,341204,0,0,40,4,11,0,3,0,39,0
31,223212,0,0,50,4,5,4,6,1,39,0
27,115705,0,0,50,6,15,4,12,1,39,0
39,301568,0,0,40,4,15,0,12,0,39,0
39,181553,0,0,55,4,9,0,4,1,39,0
36,41624,0,0,70,4,0,2,3,1,26,0
33,121904,0,0,28,4,15,4,8,0,39,0
35,149347,0,0,45,4,15,2,3,1,39,0
47,144844,0,0,40,4,11,2,3,1,39,0
21,77665,0,0,35,0,15,4,0,1,39,0
29,136017,0,0,48,4,0,4,3,1,39,0
47,374580,0,0,52,4,11,5,12,0,39,0
41,327606,0,0,40,4,2,5,3,1,39,0
50,190762,0,0,40,4,4,2,6,1,26,0
19,109928,0,0,35,4,1,4,12,0,39,0
58,92141,0,0,40,2,7,6,1,0,39,0
38,30509,0,1669,55,2,12,4,10,0,39,0
55,189721,0,0,20,6,11,2,3,1,39,0
37,295949,0,0,40,4,11,4,7,1,39,0
66,186030,0,0,32,0,5,2,0,1,39,0
53,195813,5178,0,40,4,4,2,3,1,33,1
29,240172,0,0,50,6,9,4,4,1,39,0
59,169133,0,0,45,4,11,2,3,1,39,0
37,395831,0,0,80,5,9,2,4,1,39,1
39,143445,0,0,40,4,11,2,8,0,39,0
37,82521,15024,0,40,4,9,2,4,1,39,1
42,54611,0,0,40,4,15,0,5,1,39,0
25,193773,0,0,35,4,11,4,8,0,39,0
30,65920,0,0,40,4,11,4,4,1,39,0
